#;Municipio;Categoria Geral;Categoria / Tema / Atividade;Organização;;;;;;;;;;
91;Paranavaí;TRABALHO;Moradia, Documentação, Assistência Social;Cáritas Diocesana de Paranavaí;;;;;;;;;;
92;Pato Branco;DIVERSOS;acolhimento e integração ;Movimento Haitiano Pato Branco (MHAPA);;;;;;;;;;
93;Ponta Grossa;DOCUMENTAÇÃO;Moradia, Documentação, Assistência Social;Cáritas Diocesana de Ponta Grossa;;;;;;;;;;
94;Santa Terezinha de Itaipu;EDUCAÇÃO;;Associação de Engenheiros venezuelanos no Brasil – ASSOENGVEBRAS;;;;;;;;;;
95;Toledo;HABITAÇÃO;promoção e defesa dos direitos humanos;Associação Embaixada Solidária;;;;;;;;;;
96;Toledo;JUSTIÇA;Moradia, Documentação, Assistência Social;Cáritas Diocesana de Toledo;;;;;;;;;;
97;Umuarama;SAÚDE;Moradia, Documentação, Assistência Social;Cáritas Diocesana de Umuarama;;;;;;;;;;
98;União da Vitória;SEGURANÇA;Moradia, Documentação, Assistência Social;Cáritas Diocesana de União da Vitória;;;;;;;;;;
99;Curitiba;SERVIÇO;;Instituto Brasileiro de Apoio Étnico-Raciais - IBASER;;;;;;;;;;
100;Curitiba;SOCIAL;;Associação para a Solidariedade dos Haitianos;;;;;;;;;;
101;Curitiba;TRABALHO;;Ação Social Batista Paranaense – ASBP;;;;;;;;;;
102;Curitiba;DIVERSOS;;Associação Scalabrini a Serviço dos Migrantes;;;;;;;;;;
103;São José dos Pinhais;DOCUMENTAÇÃO;língua portuguesa (com certificação), auxílio na documentação e assistência social.;ONG RESPEITO NÃO TEM COR;;;;;;;;;;
104;Curitiba;EDUCAÇÃO;Curso de capacitação profissional;Instituto Mais Brasil;;;;;;;;;;
105;Pato Branco;HABITAÇÃO;Grupo de Ensino de Língua Portuguesa para acadêmicos imigrantes;Projeto “Palavras que Acolhem”;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Venezuela;;;;;;;;;;;;;
;Associação Coletivo de Costuras Venezuelanas (Brasília/DF);;;;;;;;;;;;;
;Associação Coletivo Los Venezuelanos – Chiquiburguer (Brasília/DF);;;;;;;;;;;;;
;Venezolanos organizados (Brasília/DF);;;;;;;;;;;;;
;Associação Rede de Microempreendedores Coletivo Reformax Faz Tudo (Brasília/DF);;;;;;;;;;;;;
;Associação de Venezuelanos no Brasil – ASSOVENBRA (Porto Velho/RO);;;;;;;;;;;;;
;Bilongo Tambores Venezolanos (Boa Vista/RR);;;;;;;;;;;;;
;Asociación de Venezolanos Migrantes en Brasil (São Paulo/SP);;;;;;;;;;;;;
;Associação de Engenheiros venezuelanos no Brasil – ASSOENGVEBRAS (Santa Terezinha de Itaipu/PR);;;;;;;;;;;;;
;Odinhasf (Dourados/MS);;;;;;;;;;;;;
;Escola de Formação Artística Geração Diamante (Pacaraima/RR);;;;;;;;;;;;;
;Indígenas da Venezuela;;;;;;;;;;;;;
;Ka Ubanoko IV Piauí – Núcleo Anita Gayoso (Teresina/PI);;;;;;;;;;;;;
;Organização dos Indígena Venezuelanos no Amazonas Brasil – OIVAB (Manaus/AM);;;;;;;;;;;;;
;Conselho Warao Ojiduna (Belém/PA);;;;;;;;;;;;;
;Conselho Indigena Najakara Mooru (Cantá/RR);;;;;;;;;;;;;
;Haiti;;;;;;;;;;;;;
;Associação Fanm Nwa Mulheres Imigrantes e Refugiadas Empoderadas (Manaus/AM);;;;;;;;;;;;;
;Coordenação do Migrantes Haitianos – COMHA (Chapecó/SC);;;;;;;;;;;;;
;Palestina;;;;;;;;;;;;;
;Yafa Artes (São Paulo/SP);;;;;;;;;;;;;
;República Democrática do Congo;;;;;;;;;;;;;
;CEMIR (São Paulo/SP);;;;;;;;;;;;;
;Multiculturais;;;;;;;;;;;;;
;Centro de Apoio Para Mães Migrantes Acompañadas (Manaus/AM);;;;;;;;;;;;;
;Associação brasileira de Apoio à Integração de Migrantes e Refugiados – Mawon (Rio de Janeiro/RJ);;;;;;;;;;;;;
;Grupo de solidariedade e amizade de migrantes e refugiados de Maricá – GSAM (Maricá/RJ);;;;;;;;;;;;;
;Meu refúgio na cozinha (Rio de Janeiro/RJ);;;;;;;;;;;;;
;Brasil Refugee Sport (São Paulo/SP);;;;;;;;;;;;;
;Associação dos Angolanos e Amigos do Rio Grande do Sul (Porto Alegre/RS);;;;;;;;;;;;;
;Associação de Imigrantes (Dourados/MS);;;;;;;;;;;;;
;Associação dos Africanos em Curitiba – BOMOKO (Curitiba/PR);;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
